LISTA MAESTRA THAIPLAST,,,,,,,,,
TP-CON-012,Contenedores,C40 Contenedor Cúpula,Estándar,Pack x1,Transparente,PET,Pastelería,$570,
TP-CON-013,Contenedores,Contenedor R5,700 cc,Unidad,Transparente,Plástico,Delivery,$150,
TP-CON-014,Contenedores,Contenedor R10,1100 cc,Unidad,Transparente,Plástico,Delivery,$220,
TP-CON-015,Contenedores,R3 Cúpula,Estándar,Pack x10,Transparente,PET,Postres,$300,
TP-CUB-007,Cubiertos,Cuchara Té o Café Madera,Estándar,Pack estándar,Madera,Madera,Cafetería,$750,
TP-CUB-008,Cubiertos,Cuchara Té o Café Plástica,Estándar,Pack estándar,Blanco,Plástico,Cafetería,$1.200,
TP-CUB-009,Cubiertos,Cuchara de Madera,Estándar,Pack x100,Madera,Madera,Delivery,$1.800,
TP-CUB-010,Cubiertos,Cuchara Plástica,Estándar,Pack x100,Blanco,Plástico,Delivery,$1.350,
TP-CUB-011,Cubiertos,Cucharitas Colores,Estándar,Pack x50,Colores,Plástico,Fiestas,$600,
TP-CUB-012,Cubiertos,Cuchillo de Madera,Estándar,Pack x100,Madera,Madera,Delivery,$2.300,
TP-CUB-013,Cubiertos,Cuchillo Plástico,Estándar,Pack x100,Blanco,Plástico,Delivery,$1.200,
TP-CUB-014,Cubiertos,Tenedor de Madera,Estándar,Pack x100,Madera,Madera,Delivery,$1.800,
TP-CUB-015,Cubiertos,Tenedor Plástico,Estándar,Pack x100,Blanco,Plástico,Delivery,$1.200,
TP-CUB-016,Cubiertos,Revolvedor de Madera,14 cm,Pack estándar,Madera,Madera,Cafetería,$700,
TP-CUB-017,Cubiertos,Cuchara Larga,Estándar,Pack x25,Blanco,Plástico,Postres,$990,
TP-CUB-018,Cubiertos,Set Cubiertos Madera,Estándar,Pack x10,Madera,Madera,Delivery premium,$1.200,
TP-POT-001,Potes,40BF,240 cc,Pack x25,Transparente,Plástico,Postres / Salsas,$1.500,
TP-POT-002,Potes,40B Humo,240 cc,Pack x25,Humo,Plástico,Postres / Salsas,$1.640,
TP-POT-003,Potes,4012FL,360 cc,Pack x25,Transparente,Plástico,Postres,$1.650,
TP-POT-004,Potes,4012 Humo,360 cc,Pack x25,Humo,Plástico,Postres,$1.720,
TP-POT-005,Potes,5016,500 cc,Pack x25,Transparente,Plástico,Postres,$1.990,
TP-POT-006,Potes,4016 Humo,480 cc,Pack x25,Humo,Plástico,Postres,$2.120,
TP-FES-001,Fiestas,Escarcha 161,Estándar,Pack x100,Colores,Decoración,Fiestas,$7.700,
TP-BIS-001,Bisagras,Bisagra Cristal,240 cc,Pack x10,Transparente,PET,Postres,$1.600,
TP-BIS-002,Bisagras,Bisagra Multiuso,Estándar,Pack x25,Transparente,PET,Multiuso,$2.000,
TP-BIS-003,Bisagras,Bisagra Cristal,1000 cc,Unidad,Transparente,PET,Delivery,$3.200,
TP-POT-007,Potes,Pote Cristal c/tapa,500 cc,Unidad,Transparente,PET,Postres,$2.100,
TP-BIS-004,Bisagras,Bisagra Multiuso,180 cc,Pack x2,Transparente,PET,Multiuso,$2.500,
TP-BIS-005,Bisagras,Bisagra Multiuso,Estándar,Pack x25,Transparente,PET,Multiuso,$2.000,
TP-BIS-006,Bisagras,Bisagra 32 onzas,1000 cc,Unidad,Transparente,PET,Delivery,$2.500,
TP-POT-008,Potes,Pote Avión c/t,180 cc,Pack x50,Transparente,PET,Postres,$3.500,
TP-POT-009,Potes,Pote Gelatinero c/t,Estándar,Pack x50,Transparente,PET,Gelatinas,$2.600,
TP-POT-010,Potes,Pote Facetado,180 cc / 6 oz,Unidad,Transparente,PET,Postres,$2.400,
TP-POT-011,Potes,Pote Facetado,240 cc,Unidad,Transparente,PET,Postres,$2.400,
TP-POT-012,Potes,Pote 12 c/tapa,360 cc,Pack x10,Transparente,PET,Delivery,$3.300,
TP-POT-013,Potes,Pote c/t 16 onzas,480 cc,Unidad,Transparente,PET,Delivery,$1.300,
TP-POT-014,Potes,Pote c/t 24 onzas,720 cc,Unidad,Transparente,PET,Delivery,$1.450,
TP-POT-015,Potes,Pote 32 onzas c/t,960 cc,Unidad,Transparente,PET,Delivery,$1.600,
TP-POT-016,Potes,Pote c/tapa,60 cc,Pack x10,Transparente,PET,Salsas,$750,
TP-POT-017,Potes,Pote c/tapa,8 onzas,Pack x10,Transparente,PET,Salsas / Postres,$770,
TP-POT-018,Potes,Pote c/tapa,180 cc,Pack x10,Transparente,PET,Postres,$850,
TP-POT-019,Potes,Pote Copa,240 cc,Pack x50,Transparente,PET,Postres / Eventos,$3.500,
TP-SER-001,Servilletas,Servilleta Hoja Plus,100 un,Pack x100,Blanco,Papel,Comedor / Delivery,$1.350,
TP-SER-002,Servilletas,Servilleta Dispensador,x50,Pack x50,Blanco,Papel,Comedor / Cafetería,$1.500,
TP-SER-003,Servilletas,Servilleta,24x24,Pack x300,Blanco,Papel,Comedor,$1.200,
TP-SER-004,Servilletas,Servilleta,33x33,Pack x100,Blanco,Papel,Eventos,$2.000,
TP-SER-005,Servilletas,Servilletas,33x33,Pack x300,Blanco,Papel,Eventos,$2.990,
TP-KRA-010,Bolsas Kraft,Kraft Manilla,16x8x21,Pack x10,Kraft,Cartón,Tiendas,$1.650,
TP-KRA-011,Bolsas Kraft,Kraft Manilla,30x12x42,Unidad,Kraft,Cartón,Tiendas,$230,
TP-KRA-012,Bolsas Kraft,Kraft Manilla,44x17x39,Unidad,Kraft,Cartón,Tiendas,$260,
TP-KRA-013,Bolsas Kraft,Bolsa Kraft Manilla,42x17x4,Unidad,Kraft,Cartón,Tiendas,$300,
TP-BOM-001,Bombillas,Bombilla 6mm Plástica,Estándar,Pack,Colores,Plástico,Bebidas,$1.100,
TP-BOM-002,Bombillas,Bombilla 6mm Papel Bicolor,Estándar,Pack,Bicolor,Papel,Bebidas,$1.500,
TP-BOM-003,Bombillas,Bombilla 8mm Plástica,Estándar,Unidad,Colores,Plástico,Bebidas,$1.200,
TP-BOM-004,Bombillas,Bombilla 10mm Plástica,Estándar,Pack x5,Colores,Plástico,Bebidas,$900,
TP-BOM-005,Bombillas,Bombillas c/Envoltorio,Estándar,Pack x10,Blanco,Plástico,Delivery,$1.850,
TP-BOM-006,Bombillas,Bombilla 8mm Negra Papel,Estándar,Pack,Negro,Papel,Bebidas,$2.300,
TP-BRO-001,Brochetas,Brochetas 12 y 15 cm,Delgada,Pack,Madera,Madera,Brochetas,$450,
TP-BRO-002,Brochetas,Brochetas 20 cm,Delgada,Unidad,Madera,Madera,Brochetas,$600,
TP-BRO-003,Brochetas,Brochetas 25 cm,Delgada,Pack x10,Madera,Madera,Brochetas,$650,
TP-BRO-004,Brochetas,Brochetas 30 cm,Delgada,Unidad,Madera,Madera,Brochetas,$700,
TP-BRO-005,Brochetas,Brocheta Gruesa 30 cm,30 cm,Unidad,Madera,Madera,Parrilla,$800,
TP-BRO-006,Brochetas,Brocheta Gruesa 35 cm,35 cm,Unidad,Madera,Madera,Parrilla,$800,
TP-PAL-001,Palos,Palo de Helado,Estándar,Pack x100,Madera,Madera,Helados,$750,
TP-PAL-002,Palos,Palillos Desechables,Estándar,Pack x100,Madera,Madera,Comida asiática,$2.400,
TP-PAL-003,Palos,Palito Bambú,9 cm,Pack x100,Madera,Bambú,Decoración,$750,
TP-MON-001,Mondadientes,Mondadientes,Estándar,Pack x100,Madera,Madera,Restaurantes,$400,
TP-PIN-001,Pinchos,Pincho Bambú,9 cm,Pack x50,Bambú,Bambú,Cocktail,$1.150,
TP-PIN-002,Pinchos,Pincho Bambú,12 cm,Pack x50,Bambú,Bambú,Cocktail,$1.250,
TP-PIN-003,Pinchos,Pincho Bambú,15 cm,Pack x50,Bambú,Bambú,Cocktail,$1.350,
TP-BRO-007,Brochetas,Brocheta Bambú,40 cm,Pack x50,Bambú,Bambú,Parrilla,$1.100,
TP-BRO-008,Brochetas,Brocheta 50 cm Gruesa,50 cm,Pack x50,Madera,Madera,Parrilla,$1.300,
TP-BAN-007,Banderitas,Banderita Bambú,12 cm,Pack x5,Bambú,Bambú,Cocktail,$500,
TP-HIL-001,Hilo,Hilo Plástico,100 g,Unidad,Blanco,Plástico,Amarre,$700,
TP-HIL-002,Hilo,Hilo Plástico,200 g,Unidad,Blanco,Plástico,Amarre,$1.300,
TP-HIL-003,Hilo,Hilo Plástico,1000 g,Unidad,Blanco,Plástico,Amarre,$4.990,
TP-ALG-001,Algodón,Bolita Algodón,50 gramos,Unidad,Blanco,Algodón,Limpieza,$600,
TP-ALG-002,Algodón,Bolita Algodón,100 gramos,Unidad,Blanco,Algodón,Limpieza,$1.200,
TP-ALG-003,Algodón,Cono Algodón,N°8,Unidad,Blanco,Algodón,Limpieza,$9.900,
TP-PLA-010,Plástico Film,Plast,30x100 s/disp,Unidad,Transparente,Film,Cocina,$2.500,
TP-PLA-011,Plástico Film,Plast,30 cm x300 mts,Unidad,Transparente,Film,Cocina,$5.500,
TP-PLA-012,Plástico Film,Plast,30x1400 s/disp,Unidad,Transparente,Film,Cocina,$18.000,
TP-PLA-013,Plástico Film,Plast,36x1400 s/disp,Unidad,Transparente,Film,Cocina,$29.000,
TP-PLA-014,Plástico Film,Plast,45x1400 s/disp,Unidad,Transparente,Film,Cocina,$35.000,
TP-PAL-004,Paletizadores,Paletizador,1.3 kilos,Unidad,Transparente,Film,Bodega,$6.500,
TP-PLA-015,Plástico Film,Plast,30x500 mts,Unidad,Transparente,Film,Cocina,$9.500,
TP-PLA-016,Plástico Film,Plast,30x300 c/caja,Unidad,Transparente,Film,Cocina,$5.990,
TP-FOR-001,Foil,Foil,7.5 cm x 7.5 mts,Unidad,Plateado,Aluminio,Cocina,$990,
TP-FOR-002,Foil,Foil,30 cm x 40 mts,Caja,Plateado,Aluminio,Cocina,$2.990,
TP-FOR-003,Foil,Foil,30 cm x 100 mts,Unidad,Plateado,Aluminio,Cocina,$6.500,
TP-CAM-001,Bolsas Camiseta,Camiseta,28x35,Pack x100,Blanco,Polietileno,Comercio,$800,
TP-CAM-002,Bolsas Camiseta,Camiseta,33x40,Pack x100,Blanco,Polietileno,Comercio,$1.450,
TP-CAM-003,Bolsas Camiseta,Camiseta,35x40,Pack x100,Blanco,Polietileno,Comercio,$1.450,
TP-CAM-004,Bolsas Camiseta,Camiseta,40x50,Pack x100,Blanco,Polietileno,Comercio,$1.990,
TP-CAM-005,Bolsas Camiseta,Camiseta,45x55,Pack x100,Blanco,Polietileno,Comercio,$2.280,
TP-CAM-006,Bolsas Camiseta,Camiseta,50x60,Pack x100,Blanco,Polietileno,Comercio,$3.100,
TP-CAM-007,Bolsas Camiseta,Camiseta,60x70,Pack x100,Blanco,Polietileno,Comercio,$4.990,
TP-POL-030,Polietileno,Bolsa Polietileno,10x15x0.0022,Pack estándar,Transparente,Polietileno,Empaque,$650,
TP-POL-031,Polietileno,Bolsa Polietileno,10x15x0.007,Pack estándar,Transparente,Polietileno,Empaque grueso,$1.300,
TP-POL-032,Polietileno,Bolsa Polietileno,10x20x0.0022,Pack estándar,Transparente,Polietileno,Empaque,$700,
TP-POL-033,Polietileno,Bolsa Polietileno,10x25x0.0022,Pack estándar,Transparente,Polietileno,Empaque,$750,
TP-POL-034,Polietileno,Bolsa Polietileno,12x20x0.0022,Pack estándar,Transparente,Polietileno,Empaque,$720,
TP-POL-035,Polietileno,Bolsa Polietileno,12x20 Gruesa,Pack estándar,Transparente,Polietileno,Empaque grueso,$1.700,
TP-POL-036,Polietileno,Bolsa Polietileno,12x25x0.0022,Pack estándar,Transparente,Polietileno,Empaque,$780,
TP-POL-037,Polietileno,Bolsa Polietileno,12x25 Gruesa,Pack estándar,Transparente,Polietileno,Empaque grueso,$2.190,
TP-POL-038,Polietileno,Bolsa Polietileno,12x30x0.0022,Pack estándar,Transparente,Polietileno,Empaque,$870,
TP-POL-039,Polietileno,Bolsa Polietileno,12x35x0.0022,Pack estándar,Transparente,Polietileno,Empaque,$990,
TP-POL-040,Polietileno,Bolsa Polietileno,15x20x0.0022,Pack estándar,Transparente,Polietileno,Empaque,$790,
TP-POL-041,Polietileno,Bolsa Polietileno,15x20x0.007,Pack estándar,Transparente,Polietileno,Empaque grueso,$2.250,
TP-POL-042,Polietileno,Bolsa Polietileno,15x25x0.0022,Pack estándar,Transparente,Polietileno,Empaque,$900,
TP-POL-043,Polietileno,Bolsa Polietileno,15x25 Gruesa,Pack estándar,Transparente,Polietileno,Empaque grueso,$2.900,
TP-POL-044,Polietileno,Bolsa Polietileno,15x30x0.0022,Pack estándar,Transparente,Polietileno,Empaque,$990,
TP-POL-045,Polietileno,Bolsa Polietileno,15x30 Gruesa,Pack estándar,Transparente,Polietileno,Empaque grueso,$3.100,
TP-POL-046,Polietileno,Bolsa Polietileno,15x35x0.0022,Pack estándar,Transparente,Polietileno,Empaque,$1.200,
TP-POL-047,Polietileno,Bolsa Polietileno,15x40x0.0022,Pack estándar,Transparente,Polietileno,Empaque,$1.400,
TP-POL-048,Polietileno,Bolsa Polietileno,20x20x0.0022,Pack estándar,Transparente,Polietileno,Empaque,$890,
TP-POL-049,Polietileno,Bolsa Polietileno,20x25x0.0022,Pack estándar,Transparente,Polietileno,Empaque,$1.300,
TP-POL-050,Polietileno,Bolsa Polietileno,20x30x0.0022,Pack estándar,Transparente,Polietileno,Empaque,$1.340,
TP-POL-051,Polietileno,Bolsa Polietileno,20x30 Gruesa,Pack estándar,Transparente,Polietileno,Empaque grueso,$4.990,
TP-POL-052,Polietileno,Bolsa Polietileno,20x35x0.0022,Pack estándar,Transparente,Polietileno,Empaque,$1.580,
TP-POL-053,Polietileno,Bolsa Polietileno,20x40x0.0022,Pack estándar,Transparente,Polietileno,Empaque,$1.630,
TP-POL-054,Polietileno,Bolsa Polietileno,25x30x0.0025,Pack estándar,Transparente,Polietileno,Empaque,$2.100,
TP-POL-055,Polietileno,Bolsa Polietileno,25x35x0.0025,Pack estándar,Transparente,Polietileno,Empaque,$2.700,
TP-POL-056,Polietileno,Bolsa Polietileno,25x35 Gruesa,Pack estándar,Transparente,Polietileno,Empaque grueso,$6.500,
TP-POL-057,Polietileno,Bolsa Polietileno,25x40x0.0025,Pack estándar,Transparente,Polietileno,Empaque,$2.600,
TP-POL-058,Polietileno,Bolsa Polietileno,30x40x0.0025,Pack estándar,Transparente,Polietileno,Empaque,$2.990,
TP-POL-059,Polietileno,Bolsa Polietileno,30x45x0.0025,Pack estándar,Transparente,Polietileno,Empaque,$3.600,
TP-POL-060,Polietileno,Bolsa Polietileno,35x40x0.0025,Pack estándar,Transparente,Polietileno,Empaque,$3.400,
TP-POL-061,Polietileno,Bolsa Polietileno,35x45x0.0025,Pack estándar,Transparente,Polietileno,Empaque,$3.800,
TP-POL-062,Polietileno,Bolsa Polietileno,40x50x0.0025,Pack estándar,Transparente,Polietileno,Empaque,$4.500,
TP-POL-063,Polietileno,Bolsa Polietileno,40x60x0.0025,Pack estándar,Transparente,Polietileno,Empaque,$5.200,
TP-POL-064,Polietileno,Bolsa Polietileno,60x90x0.0025,Pack estándar,Transparente,Polietileno,Empaque industrial,$1.500,
TP-POL-065,Polietileno,Bolsa Polietileno,60x120x0.0025,Pack estándar,Transparente,Polietileno,Empaque industrial,$1.900,
TP-VAS-001,Vasos PET,Vaso PET Domo,9-12-16 oz,Pack x5,Transparente,PET,Bebidas frías,$400,
TP-VAS-002,Vasos PET,Tapa PET Domo,9-12-16 oz,Pack x5,Transparente,PET,Bebidas frías,$300,
TP-VAS-003,Vasos PET,Vaso PET,12 oz,Pack x10,Transparente,PET,Bebidas frías,$750,
TP-VAS-004,Vasos PET,Vaso PET,16 oz,Pack x10,Transparente,PET,Bebidas frías,$800,
TP-VAS-005,Vasos PET,Vaso PET,9 oz,Pack x10,Transparente,PET,Bebidas frías,$600,
TP-VAS-006,Vasos PET,Vaso PET Liso,Estándar,Pack x25,Transparente,PET,Bebidas,$3.600,
TP-POT-020,Potes,Pote 0.75 onza c/tapa,Estándar,Pack,Transparente,PET,Salsas,$1.500,
TP-POT-021,Potes,Pote 1.5 onza c/tapa,Estándar,Pack x100,Transparente,PET,Salsas,$2.400,
TP-POT-022,Potes,Pote 3.25 onza,97.5 cc,Unidad,Transparente,PET,Salsas,$1.750,
TP-POT-023,Potes,Pote 5.5 onzas,165 cc,Pack,Transparente,PET,Postres,$2.100,
TP-VAP-001,Vasos Polipapel,Vaso 4 onzas,120 cc,Pack,Blanco,Polipapel,Café,$1.500,
TP-VAP-002,Vasos Polipapel,Vaso 6 onzas,180 cc,Pack,Blanco,Polipapel,Café,$1.800,
TP-VAP-003,Vasos Polipapel,Vaso 8 onzas,240 cc,Pack,Blanco,Polipapel,Café,$2.000,
TP-VAP-004,Vasos Polipapel,Vaso 10 onzas,300 cc,Pack,Blanco,Polipapel,Café,$2.500,
TP-VAP-005,Vasos Polipapel,Vaso 12 onzas,360 cc,Pack,Blanco,Polipapel,Café,$3.050,
TP-VAP-006,Vasos Polipapel,Vaso 16 onzas,480 cc,Pack,Blanco,Polipapel,Café,$3.400,
TP-TAP-001,Tapas,Tapa 8-10 Polipapel,Estándar,Pack x50,Blanco,Plástico,Café,$1.480,
TP-TAP-002,Tapas,Tapa 12-16 Polipapel,Estándar,Pack x50,Blanco,Plástico,Café,$1.950,
TP-CAR-001,Cartones,Cartón Genérico para Vaso,Estándar,Unidad,Kraft,Cartón,Café,$2.200,
TP-HEL-001,Heladeras,Heladera Polipapel,150 cc,Pack,Blanco,Polipapel,Helados,$2.650,
TP-HEL-002,Heladeras,Heladera Polipapel,240 cc,Pack,Blanco,Polipapel,Helados,$3.000,
TP-VAP-007,Vasos Polipapel,Vaso 8 onza corrugado,Estándar,Unidad,Kraft,Polipapel,Café premium,$2.000,
TP-VAP-008,Vasos Polipapel,Vaso 12 corrugado,Estándar,Unidad,Kraft,Polipapel,Café premium,$3.000,
TP-VAP-009,Vasos Polipapel,Vaso Dos Compartimientos,Estándar,Unidad,Blanco,Polipapel,Bebidas,$1.600,
TP-VAP-010,Vasos Polipapel,Vaso Ripple,240 cc,Unidad,Kraft,Polipapel,Café premium,$2.100,
TP-VAP-011,Vasos Polipapel,Vaso Ripple,360 cc,Unidad,Kraft,Polipapel,Café premium,$2.700,
TP-VAP-012,Vasos Polipapel,Vaso Ripple,500 cc,Unidad,Kraft,Polipapel,Café premium,$3.300,
TP-VAS-007,Vasos Térmicos,Vaso Térmico,120 cc,Pack x50,Blanco,Térmico,Bebidas calientes,$2.000,
TP-VAS-008,Vasos Térmicos,Vaso Térmico,180 cc,Pack x25,Blanco,Térmico,Bebidas calientes,$1.100,
TP-VAS-009,Vasos Térmicos,Vaso Térmico,240 cc,Pack x25,Blanco,Térmico,Bebidas calientes,$1.200,
TP-VAS-010,Vasos Térmicos,Vaso Térmico,300 cc,Pack x25,Blanco,Térmico,Bebidas calientes,$1.300,
TP-VAS-011,Vasos Térmicos,Vaso Térmico,360 cc,Pack x20,Blanco,Térmico,Bebidas calientes,$1.450,
TP-TAP-003,Tapas,Tapa 180 cc térmica,Estándar,Pack x100,Blanco,Plástico,Bebidas calientes,$1.500,
TP-TAP-004,Tapas,Tapa 240 cc térmica,Estándar,Pack x100,Blanco,Plástico,Bebidas calientes,$2.500,
TP-TAP-005,Tapas,Tapa 300 cc térmica,Estándar,Pack x100,Blanco,Plástico,Bebidas calientes,$2.700,
TP-TAP-006,Tapas,Tapa 360 cc térmica,Estándar,Pack x100,Blanco,Plástico,Bebidas calientes,$2.900,
TP-POT-024,Potes,Pote 360 cc c/tapa,Estándar,Pack x20,Transparente,PET,Postres,$3.450,
TP-POT-025,Potes,Pote 500 cc c/tapa,Estándar,Pack x20,Transparente,PET,Postres,$4.900,
TP-COP-001,Copas,Copa Champagne,Estándar,Pack x10,Transparente,Plástico,Eventos,$2.200,
TP-COP-002,Copas,Copa Veneciana c/t,Estándar,Pack x10,Transparente,Plástico,Postres,$1.750,
TP-COP-003,Copas,Copa Vino,Estándar,Pack x10,Transparente,Plástico,Eventos,$2.100,
TP-COP-004,Copas,Copa Sundae,Estándar,Pack x20,Transparente,Plástico,Helados,$3.000,
TP-COP-005,Copas,Copa Francesa con tapa,Estándar,Pack x10,Transparente,Plástico,Postres,$2.200,
TP-COP-006,Copas,Copa Martini Alta,Estándar,Pack x10,Transparente,Plástico,Eventos,$2.400,
TP-COP-007,Copas,Copa Romana,Estándar,Pack x10,Transparente,Plástico,Postres,$2.800,
TP-COP-008,Copas,Copa Cuadrada,60 cc,Pack x24,Transparente,Plástico,Degustaciones,$3.500,
TP-COP-009,Copas,Copa Cuadrada,180 cc,Pack x12,Transparente,Plástico,Postres,$3.950,
TP-COP-010,Copas,Copa Veneciana,90 cc,Pack x50,Transparente,Plástico,Postres,$5.000,
TP-COP-011,Copas,Copa Veneciana,150 cc,Pack x50,Transparente,Plástico,Postres,$5.800,
TP-COP-012,Copas,Copa Veneciana,240 cc,Pack x100,Transparente,Plástico,Postres,$2.000,
TP-COP-013,Copas,Copa Veneciana,360 cc,Pack x100,Transparente,Plástico,Postres,$2.200,
TP-COP-014,Copas,Copa Garza,Estándar,Pack x10,Transparente,Plástico,Eventos,$1.800,
TP-ACR-001,Vasos Acrílicos,Vaso Acrílico,60 cc,Pack x25,Transparente,Acrílico,Eventos,$1.700,
TP-ACR-002,Vasos Acrílicos,Vaso Acrílico,90 cc,Pack x25,Transparente,Acrílico,Eventos,$2.500,
TP-ACR-003,Vasos Acrílicos,Vaso Acrílico,210 cc,Pack x25,Transparente,Acrílico,Eventos,$3.300, OK